,atm_id,id,atm_group,address,address_rus,lat,long,target,lat_rad,long_rad,key,n_mall,n_bank,n_department_store,n_station,n_alcohol,n_police,n_university,n_railway_station,n_aeroway_terminal
0,0,8526.0,32.0,"EMELYANOVA,34          Y-SAKHALINSK   ","улица А.О. Емельянова, 34, Южно-Сахалинск, Сахалинская область, Россия",46.940995,142.738319,0.0114998209182048,0.8192749169121957,2.49125363531198,0,0,0,0,0,2,0,0,0,0
1,1,8532.0,32.0,"KOMSOMOLSKAYA,259B     Y.SAKHALINSK   ","Комсомольская улица, 259, Южно-Сахалинск, Сахалинская область, Россия",46.937353,142.753348,0.0297102650350859,0.8192113520208381,2.491515940845262,0,0,2,0,0,1,0,0,0,0
2,2,8533.0,32.0,"KOMMUN. PR., 32        YUZHNO SAKHAL  ","Коммунистический проспект, Южно-Сахалинск, Сахалинская область, Россия",46.959413,142.741113,0.0095399608832554,0.8195963716538279,2.491302399811281,0,0,2,0,0,2,0,0,0,0
3,3,8684.0,32.0,"LENINGRADSKIY PR.,76A  MOSCOW         ","Ленинградский проспект, 76А, Москва, Россия, 125315",55.805827,37.515146,-0.0940346244764994,0.9739954229483496,0.6547628170663806,0,0,8,0,1,3,2,0,0,0
4,4,37.0,32.0,"GVARDEYSKAYA PL., 2    NORILSK        ","Гвардейская площадь, 2, Норильск, Красноярский край, Россия, 663302",69.343541,88.211228,0.0792773520096629,1.2102731054416813,1.5395763658274126,0,0,0,1,0,0,0,0,0,0
5,5,313.0,32.0,"RUSSKAYA, 16           VLADIVOSTOK    ","Русская улица, 16, Владивосток, Приморский край, Россия, 690039",43.16586,131.908212,-0.1450012314747548,0.7533863814549195,2.3022326098186943,0,4,1,0,0,2,0,0,0,0
6,6,335.0,32.0,"SHUKHOVA, 14           MOSCOW         ","улица Шухова, 14, Москва, Россия, 115162",55.716859,37.613063,-0.0246822352357643,0.9724426384194352,0.6564717911100558,0,0,3,0,0,1,0,0,0,0
7,7,358.0,32.0,"ADMIRALA FOKINA, 25    VLADIVOSTOK    ","улица Адмирала Фокина, 25, Владивосток, Приморский край, Россия, 690091",43.117174,131.885503,-0.1334258834962322,0.7525366504552935,2.301836262998859,0,7,20,0,0,3,0,0,0,0
8,8,2895.0,32.0,Zhivopisnaia 136       d.Velednikov   ,"деревня Веледниково, городской округ Истра, Московская область, Россия",55.799765,37.116016,0.1414693533331615,0.9738896210890937,0.6477966844228957,0,0,0,0,0,0,0,0,0,0
9,9,1975.0,496.5,BEKESHSKAYA 39            PENZA       ,"Бекешская улица, 39, Пенза, Россия, 440018",53.20322,44.978826,0.0172589332663376,0.9285713616628976,0.7850286073816309,0,0,1,0,0,0,0,0,0,0
